Date,Open,High,Low,Close,SENSEX_CL_OP_SPREAD,INFY_CL_OP_SPREAD,logvalue
18-Jul-25,82193.62,82334.75,81608.13,81757.73,-435.89,-0.18,0.744727495
17-Jul-25,82753.53,82757.09,82219.27,82259.24,-494.29,-0.59,0.229147988
16-Jul-25,82534.66,82784.75,82342.94,82634.48,99.82,1.21,0.08278537
15-Jul-25,82233.16,82743.62,82221.74,82570.91,337.75,-0.66,0.180456064
14-Jul-25,82537.87,82537.87,82010.38,82253.46,-284.41,0.04,-1.397940009
11-Jul-25,82820.76,83040.74,82442.25,82500.47,-320.29,2.46,0.390935107
10-Jul-25,83658.2,83742.28,83134.97,83190.28,-467.92,-0.7,0.15490196
09-Jul-25,83625.89,83781.36,83382.28,83536.08,-89.81,-1.1,-0.041392685
08-Jul-25,83387.03,83812.31,83320.95,83712.51,325.48,0.21,-0.677780705
07-Jul-25,83398.08,83516.82,83262.23,83442.5,44.42,-2.42,-0.383815366
04-Jul-25,83306.81,83477.86,83015.83,83432.89,126.08,-0.17,0.769551079
03-Jul-25,83540.74,83850.09,83186.74,83239.47,-301.27,0.32,-0.494850022
02-Jul-25,83790.72,83935.01,83150.77,83409.69,-381.03,-0.52,0.283996656
01-Jul-25,83685.66,83874.29,83572.51,83697.29,11.63,-4.09,-0.611723308
30-Jun-25,84027.33,84099.53,83482.13,83606.46,-420.87,-1.24,-0.093421685
27-Jun-25,83774.45,84089.35,83645.41,84058.9,284.45,-0.36,0.443697499
26-Jun-25,82882.92,83812.09,82816.26,83755.87,872.95,-0.6,0.22184875
25-Jun-25,82448.8,82815.91,82339.57,82755.51,306.71,0.84,-0.075720714
24-Jun-25,82534.61,83018.16,81900.12,82055.11,-479.5,2.29,0.359835482
23-Jun-25,81704.07,82169.67,81476.76,81896.79,192.72,0.27,-0.568636236
20-Jun-25,81354.85,82494.49,81323.2,82408.17,1053.32,-0.3,0.522878745
19-Jun-25,81403.94,81583.94,81191.04,81361.87,-42.07,-1.3,-0.113943352
18-Jun-25,81314.62,81858.97,81237.01,81444.66,130.04,-0.64,0.193820026
17-Jun-25,81869.47,81890.15,81427.01,81583.3,-286.17,0.86,-0.065501549
16-Jun-25,81034.45,81865.82,81012.31,81796.15,761.7,2.71,0.432969291
13-Jun-25,80427.81,81238.68,80354.59,81118.6,690.79,0.02,-1.698970004
12-Jun-25,82571.67,82661.04,81523.16,81691.98,-879.69,-0.83,0.080921908
11-Jun-25,82473.02,82783.51,82308.91,82515.14,42.12,-1.83,-0.26245109
10-Jun-25,82643.73,82680.79,82240.4,82391.72,-252.01,0.56,-0.251811973
09-Jun-25,82574.55,82669,82369.24,82445.21,-129.34,1.3,0.113943352
06-Jun-25,81434.24,82299.89,81140.11,82188.99,754.75,-0.16,0.795880017
05-Jun-25,81196.08,81911.13,80983.73,81442.04,245.96,0.02,-1.698970004
04-Jun-25,80777.65,81087.29,80705.18,80998.25,220.6,1.23,0.089905111
03-Jun-25,81492.5,81774.23,80575.09,80737.51,-754.99,0.08,-1.096910013
02-Jun-25,81214.42,81474.26,80654.26,81373.75,159.33,-3.79,-0.57863921
